电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,宣传语,简介
狂沙十萬里,1968,1969/09/25 (HK),"剧情,西部",166m,83,意大利語,賽爾喬·萊昂內,塞爾吉奧·多納蒂,There were three men in her life. One to take her… one to love her —and one to kill her.,義大利西部片宗師李歐尼（Sergio Leone）的傳世經典之作，繼與克林伊斯威特合作「鏢客三系列」之後，李歐尼這部近三個小時的長篇鉅作，被稱之為影史上最偉大的西部片。
從前有間工作室 – 迪士尼繪夢 100 年,2023,2023/10/16 (HK),"动画,家庭,奇幻,喜剧",9m,83,英語,Dan Abraham,Trent Correy,100 years of Disney magic comes together.,為慶賀 100 週年紀念，深受大家喜愛的迪士尼動畫人物共聚一堂，締造難忘回憶。
閃亮人生,2011,2012/09/06 (HK),"剧情,喜剧",113m,83,法語,埃里克·託萊達諾,奧利維埃·納卡什,一對不平凡主僕 逆轉不一樣人生,出身法國貴族世家的菲臘（法司華古薩 飾），因一次跳傘意外而幾乎全身癱瘓，只剩下情緖意識和思考能力，終身只能坐在輪椅上，全身無法動彈，唯有聘請一名能 24 小時照顧日常起居生活的看護。菲臘竟僱傭了剛剛出獄、住在巴黎近郊「廉租屋」的黑人男子迪維斯（奧馬司飾）來照顧他，二人一白一黑，一個説話文謅謅一個粗俗無聊，一個西裝筆挺一個愛穿底褲拖鞋，兩個生活在不同世界的人長時間相處下來，竟爆發出友誼火花，讓人生逆轉過來！
現代啟示錄,1979,1980/03/27 (HK),"剧情,战争",153m,83,英語,法蘭西斯·柯波拉,約翰·米利厄斯,This is the end...,1968 年，特種部隊上尉班傑明·韋勒（Benjamin L.Willard）奉命前往越南「制裁」已失去控制的上校華特·寇茲（Walter E.Kurtz）。寇茲已不受上級指揮，在中立的柬埔寨指揮自己的部隊，並被土著當作半神崇拜。在溯遊而上的過程中，韋勒見證美軍使用各種激烈殘暴的行為來殺害人類，讓他不禁開始思考所謂文明的意義。一日，韋勒得知六個月之前有人被指派相同的任務前往刺殺寇茲，但是失敗；上級説他自殺，後來韋勒發現他實際上加入了寇茲。最後在叢林深處，韋勒終於找到寇茲；片末韋勒用大砍刀殺死寇茲，最後在土著的注視及膜拜下帶著寇茲留下的紀錄與最後一名船員蘭斯一同乘船離開。
牯嶺街少年殺人事件,1991,1991/07/27 (TW),"犯罪,剧情,爱情",236m,83,-,楊德昌,楊順清,概覽,小四因考試失準進入夜間班，和周圍終日廝混的幫派少年格格不入，直到他遇到清純憂鬱的女孩小明。二人壓抑中情愫萌生，卻注定悲劇收場。漆黑的夜裏，明滅的燈光，留聲機裏的搖滾樂……導演借一宗轟動全國的殺人事件，追懷 60 年代台灣社會：物質匱乏、白色恐怖、政治鬥爭。交織出一段昏暗苦澀的青春。
猶瑟與虎魚們,2020,2020/12/25 (JP),"动画,剧情,爱情",98m,83,日語,田村耕太郎,桑村沙耶香,Together they can fly.,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook."
新世紀福音戰士劇場版：Air／真心為你,1997,1997/07/19 (JP),"动画,科幻,剧情,奇幻",87m,83,日語,庵野秀明,鶴卷和哉,The fate of destruction is also the joy of rebirth.,《新世紀福音戰士劇場版：THE END OF EVANGELION》（日語：新世紀エヴァンゲリオン 劇場版 THE END OF EVANGELION - Air/まごころを、君に）是新世紀福音戰士第2部動畫電影，分成Air與真心為你兩個部分。製作這劇場版的原因是由於TV版的結尾兩集只描寫了主要角色的心理，而沒有交代故事的結局，所以本作才是新世紀福音戰士真正的結尾。 而TV版結尾是庵野秀明要闡述自己的思想開導社會適應不良者。片中一問一答的對話是一種精神分析和精神治療的方式，透過對主要角色的心理分析和試圖解決他們的障礙來向觀眾傳達具有教育意義的思想。這種內容對劇情發展沒有助益，但是具有教育價值。
洞,1960,1960/03/18 (FR),"剧情,惊悚,犯罪",132m,83,法語,雅克·貝克,若澤·喬瓦尼,Poor Gaspard...,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system – yet their escape is anything but assured."
青春豬頭少年不會夢到懷夢美少女,2019,2019/10/03 (HK),"动画,爱情,剧情,奇幻",90m,83,日語,增井壯一,鴨志田一,時間與記憶、我都一起帶到未來,梓川咲太是一名高二學生，住在一個有著美麗天空與海洋的城市「藤澤」，和同時是學姐也是戀人的櫻島麻衣過著愉快的日子，但隨著初戀對象牧之原翔子的出現而產生劇變。不知為何，居然同時存在著「初中生的翔子」和「成年的翔子」。不得已之下和翔子同居的咲太被「成年翔子」玩弄於股掌之中，與麻衣之間的關係也變得尷尬。此時，得知了「初中生翔子」患了很重的病，咲太身上的傷痕也開始隱隱作痛 ——
劇場版 GIVEN~被贈與的未來,2020,2020/08/22 (JP),"动画,剧情,音乐,爱情",60m,83,日語,山口光,綾奈由仁子,A story of a certain summer.,高中生上山立夏熱愛演奏吉他，與春樹和秋彥合組一個小樂隊。某個午休，他意外幫佐藤真冬修好吉他弦後，被真冬拜託教吉他，而後又在聽到真冬的歌聲後邀請他加入樂隊。立夏在相處的過程中漸漸喜歡上真冬，真冬有一個彼此互相喜歡並支持的青梅竹馬，但那個人卻自殺了，因那個人喜歡吉他，真冬才一直很想學。那個人沒有做到的事，沒有堅持的陪伴，立夏都幫他實現了，真冬也開始慢慢喜歡上立夏。另外一對 CP 春樹和秋彥，春樹一直默默喜歡著秋彥，為他留著長髮，但秋彥卻與極具音樂才華的小提琴家雨月同居在一起。動畫影集以高中生的真冬與立夏兩人間悲傷恬淡的愛情為主軸，首部劇場版則為大人組三人的春樹、秋彥、雨月，熾熱的三角戀拉開序幕。
