电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,宣传语,简介
綠里奇蹟,1999,2000/03/09 (HK),"奇幻,剧情,犯罪",189m,85,英語,法蘭·達拉本特,史提芬·京,Paul Edgecomb didn't believe in miracles. Until the day he met one.,所謂「綠裏」，是指從監房到死囚之間地面上塗上綠色油漆的路程，獄長保甸多年來曾送過不少死囚走過「綠裏」，但當他押著六尺五寸的黑人哥菲上電椅時，內心卻悲痛莫名。外表孔武有力的哥菲被控謀殺兩名白人姐妹，但保羅看得出他心地善良並擁有神奇力量，令保羅開始質疑哥菲是否被誤判。保羅漸漸發覺奇蹟通常在意料之外的地方發生。
魔戒三部曲：王者再臨,2003,2003/12/18 (HK),"冒险,奇幻,动作",251m,85,英語,彼得積遜,J·R·R·託爾金,The eye of the enemy is moving.,遠征隊還是分頭努力，一邊是亞拉岡、勒苟拉斯、金霹加上洛汗國的希優頓；另一頭則有梅裏、皮聘見證了薩魯曼位於艾辛格的高塔受到精靈族的摧毀；而佛羅多、山姆則繼續前往末日山脈，咕魯帶他們前往另一段未知的命運。
上流寄生族,2019,2019/06/20 (HK),"喜剧,惊悚,剧情",132m,85,韓語,奉俊昊,韓進元,Act like you own the place.,窮爸爸基澤 (宋康昊 飾) 一家四口全是無業遊民，他們終日望天打卦，直至長子基佑 (崔宇植 飾) 以偽造文憑，成功受聘為神秘富豪 (李善均 飾) 子女的補習老師，這潦倒的一家彷彿重獲生機，「共享」上流人的榮華富貴，但無止境的貧富差距最終令人性失控. . . .
危險人物,1994,1995/03/23 (HK),"惊悚,犯罪,喜剧",154m,85,英語,昆頓·塔倫天奴,羅傑·阿瓦里,You won’t know the facts until you’ve seen the fiction.,幾個擦身而過的人，在黑道世界中交織出微妙錯綜的故事。  殺手文生（尊特拉華達 飾）奉命陪伴黑幫頭子之妻蜜亞（奧瑪花曼 飾）四出散心。蜜亞卻吸下過量毒品昏迷不醒，嚇得文生魂不附體…  另一方面，文生與拍檔朱沃（森姆積遜 飾）在一次行動中被亂槍掃射大難不死。朱沃堅信這是上帝之手相助，決定改邪歸正，文生不以為然，繼續為黑幫賣命。  拳手布治（布斯韋利士 飾）答應黑幫頭子打假拳騙取彩金，臨場卻倒轉賽果夾帶私逃。起程之際，布治與殺手文生狹路相逢。這時，屋內突然傳出一陣槍聲…
你的名字,2016,2016/11/11 (HK),"动画,爱情,剧情",106m,85,日語,新海誠,,"Separated by distance, connected by fate.",故事發生在日本千年一遇的流星夜後一個月。住在鄉郊的女高中生宮水三葉對這種生活感到枯燥，一直非常嚮往都市生活。「來生要成為東京帥哥！」是她的願望。有一天，她真的夢見自己成為男生。眼前的是一個不熟悉的房間、不認識的朋友，還有她夢寐以求的東京寬闊街道。
星際啟示錄,2014,2014/11/06 (HK),"冒险,剧情,科幻",169m,85,英語,基斯杜化·路蘭,尊納頓路蘭,Mankind was born on Earth. It was never meant to die here.,世界在歷經極端氣候與糧食危機，地球瀕臨末日之際，一位電機工程師（馬修麥康納希 Matthew McConaughey 飾）與一群專業研究者還有頂尖太空人（安夏菲慧 Anne Hathaway 飾） ，扛起人類史上最重要的任務，越過已知的銀河，在星際間尋找未來出路。同時必須先割捨無法與家人見面的親情牽絆，在愛與勇氣、生存與挑戰中，跨越星際拯救人類…
獨行俠決鬥地獄門,1966,1968/06/13 (HK),西部,161m,85,意大利語,賽爾喬·萊昂內,盧西亞諾·文森佐尼,For three men the Civil War wasn't hell. It was practice.,美國南北戰爭時期，南方政府埋藏了一批黃金。這個消息恰好被三名主角知道了，然而他們每個人只知道關於埋藏地點的一部分訊息。因此既要合作，又要提防對方獨吞財產。
阿甘正傳,1994,1994/12/15 (HK),"喜剧,剧情,爱情",142m,85,英語,羅伯特·澤米吉斯,温斯頓·格魯姆,The world will never be the same once you've seen it through the eyes of Forrest Gump.,阿甘自幼與母親相依為命，雖然智商比普通人為低，雙腳亦天生有障礙。但他生性篤實，與世無爭，在母親無微不至照顧下，健康地長大。阿甘的一生可説是平凡中不平凡，他面對每一件事都抱忠誠純真的態度，就是獲甘迺迪總統嘉勉，參加越戰奮勇抗敵，與尼克遜總統相遇，跟約翰聯儂一起接受訪問，在欖球比賽得冠軍，到中國參加世界乒乓球比賽，把捕蝦生意搞成大企業等等，他都是以稚子之心待之。可是，母親的去世和青梅竹馬的珍妮的我行我素性格弄得阿甘好苦，於是他在全美各地跑步解憂，成傳媒爭相報導的對象…
人類啟示錄,2015,2015/09/12 (FR),纪录,191m,85,法語,Yann Arthus-Bertrand,,概覽,集攝影師、記者、環保倡議者於一身的全能導演Yann-Arthus Bertrand完成大自然紀錄片«人類啟示錄»後轉變視角，拷問人性。不同種族，不同語言，不同身世，卻擁有一樣真實的臉，一樣掙扎的人生。紀錄片採訪兩千多人，走遍六十多個國家，內容觸及戰爭、種族、宗教、暴力、性別、賣淫、歧視及仇殺等禁忌話題。一個個經歷過如斯苦難的靈魂赤裸裸的與你對視，毫無掩飾地講述自己的人生，控訴與懺悔交織，淚水與寬恕融匯。生而為人，意義何在？在人生永無盡頭的征途中，也許只有愛才能抵禦一切。
盜亦有道,1990,1990/11/01 (HK),"剧情,犯罪",145m,85,英語,馬田史高西斯,尼古拉斯·皮萊吉,Three decades of life in the mafia.,亨利生長在20世紀50年代美國紐約市東的布魯克林區，他很小時就開始注意到街口對面的意大利黑幫Lucchese家族（Lucchese crime family）。這種關注逐漸地便發展為一種崇拜：小亨利開始渴望有朝一日自己也能成為該家族中的一員。1955年，小亨利正式退學並開始為家族在當地的一個聚點打雜。此後不久，經過其自身的不懈努力和家族首腦保利 及其合作夥伴吉米 的賞識與栽培，小亨利逐步得到家族成員的信任，並迅速發展成為家族骨幹。
七俠四義,1954,1954/04/26 (JP),"动作,剧情",207m,85,日語,黑澤明,橋本忍,Unmatched for suspense and spectacle!,日本戰國時代末期，不少武士淪落為作惡多端的山賊。一個村莊的村民，經常遭受野武士搶劫，無意又得知野武士計劃在秋收時來襲，決定到外面尋找武士協助他們抵抗山賊。由於這條村實在太貧窮，只能用收成得來的白米飯做酬勞，長老説要請「肚餓的武士」，但肚餓的武士怎能對抗山賊？不過，這班村民拿著白米飯，居然打動了六位沒有藩屬、俠骨仁心的武士，加上自稱武士之後的菊千代，七人回到村落協助防守。七位武士帶領農民積極備戰，建築防禦、掘成壕溝、整肅隊伍。這段相處期間，武士與農民的各種矛盾逐一湧現，又逐一和解。終於，山賊襲擊的時候來了。七位武士和一眾農民，奮力抵抗山賊，也付出了沉重的代價，武士中包括菊千代在內有四人陣亡。大戰過後，武士們離開村落，武士中的首腦人物勘兵衞不禁感嘆：「這也是場敗仗……羸的並不是武士，而是農民。」
David Attenborough：活在天與地,2020,2020/09/28 (GB),"纪录,剧情",83m,84,英語,Keith Scholey,艾雷斯泰·法瑟吉爾,概覽,節目主持人講述自己的人生，並回顧地球上的生命演化史，以此悼念消逝的野生棲地，同時分享他對未來的願景。
再見螢火蟲,1988,1988/04/16 (JP),"动画,剧情,战争",89m,84,日語,高畑勳,,Why do fireflies have to die so soon?,美日戰爭爆發，14 歲的清太帶著年幼的妹妹到處逃命，當他們到達防空洞的時候，母親已身受重傷，沒過多久便不久人世。兩兄妹自此過著相依為命的日子。他們只好投靠了母親的姐妹，縱使他們把家裏所有的家當都送給了阿姨，但當食物 ​​吃完，他們就越感到了寄人籬下的感覺，清太決定帶著妹妹離開獨自生活。火災硝煙中的生活並不好過，清太為了妹妹四處偷取食物，但妹妹還是嚴重營養不良……
一個快樂的傳説,1997,1997/12/20 (IT),"喜剧,剧情",116m,84,意大利語,羅貝託·貝尼尼,文森佐·塞拉米,殘酷戰火下 以頑抗宿命 以歡笑活出傳說,圭多是一個心地善良樂觀的猶太青年。他對生活充滿了美好的嚮往。他和好友駕駛破車從鄉間來到阿雷佐小鎮，他的願望是在小鎮開一家屬於自己的書店過著與世無爭的生活。途經一座穀倉塔時，年輕漂亮的女子多拉突然從塔樓上跌落到他的懷中。圭多立刻對她產生了好感。兩人邂逅燃起了心中愛情的火焰。婚後，圭多夢寐以求的書店開業了，他們有了個乖巧可愛的兒子喬舒亞。圭多一家人生活幸福美滿。豈料，在喬舒亞五歲生日這天，納粹分子抓走了父子，強行把他們送往猶太人集中營。
搏擊會,1999,1999/11/11 (HK),"剧情,惊悚",139m,84,英語,大衞·芬查,恰克·帕拉尼克,Mischief. Mayhem. Soap.,愛德華諾頓飾演一位失眠病患者，讀完大學，找到一份工作，然後買屋，過著沉悶痛苦的刻板生活。直到遇上肥皂推銷員畢彼特，扭轉了他的命運。畢彼特深信自我進步是弱者的行為，只有自我毀滅才活得有價值。他們組成「搏擊會」，會員互相毆打致頭破血流，尋求「真正的生活意義」，並集結，自行重整社會秩序。直至畢彼特愈見走火入魔，終引發出愛德華一段聲嘶力竭的掙扎。
切腹,1962,1962/09/15 (JP),"动作,剧情,历史",135m,84,-,小林正樹,瀧口康彥,"What befalls others today, may be your own fate tomorrow.",影片根據瀧口康彥的小説《異聞浪人記》改編，圍繞展現武士道精神的終極形式——切腹展開了一個別開生面的故事。影片根據瀧口康彥的小説《異聞浪人記》改編，圍繞展現武士道精神的終極形式——切腹展開了一個別開生面的故事。導演透過 通過這個故事，對武士道精神做了一番討論，批判了所謂武士的體面這種虛假可憎的東西，謳歌了貧困武士堅守尊嚴的精神，同時對他們的不幸生活遭遇表示出深切的同情，揭露出封建社會的黑暗和不公。這是一部構思巧妙、製作精良、發人深省的傑作。本片在戛納電影界上獲得了讚譽，在日本國內贏得了每日電影評選的最佳影片獎，出演半四郎的仲代達矢憑藉此片獲得了數座最佳男主演獎獎盃。
魔戒首部曲：魔戒現身,2001,2002/01/31 (HK),"冒险,奇幻,动作",208m,84,英語,彼得積遜,J·R·R·託爾金,One ring to rule them all.,黑暗魔王索倫鑄造了一隻至尊魔戒，神奇力量足以令他征服眾生靈，輾轉被哈比族人佛羅多巴金斯所承繼。佛羅多必須把魔戒丟進它的鑄造地末日山脈的火焰之中，才能徹底摧毀這股黑暗力量。他在一班正義忠心伴侶幫助下組成遠征隊，其中包括哈比族人、人類戰士、巫師、矮人及精靈，途中他們要跟索倫集結的半獸人集團決戰，並要抵擋來自這隻魔戒的邪惡力量所引發的誘惑。一段漫長的正邪之戰，從此展開……
無主之城,2002,2003/05/08 (HK),"剧情,犯罪",129m,84,葡萄牙語,費蘭度·美拿里斯,Kátia Lund,"If you run, the beast catches you; if you stay, the beast eats you.",「天主之城」是最危險的貧民窟，住在這裏的孩子們幾乎人手一槍，進入此區的貨車都難逃被劫的命運，已成了暴力毒品的天堂，聯警察都不願意輕易涉足。導演用超動感的剪輯，呈現片中死亡與鮮血的畫面，配上輕快的森巴背景音樂，彷彿殺人變得合理、犯罪得到快感，加上靈活的運鏡手法，讓人遊走在理性的邊緣，但是又不至迷失人性。
星光伴我心,1988,1990/01/18 (HK),"剧情,爱情",124m,84,意大利語,基斯比·湯納度,瓦娜·波利,An enchanted village. A wonderful friendship. Star-crossed lovers. And the magic of the movies.,義大利小男孩多多喜愛電影，在 Cinema Paradiso 戲院流聯忘返。他在戲院跟亦師亦友的老放映師學放映，又在戲院嘗到戀愛的甜蜜和心痛。在多多心中，這間戲院一如其名，像天堂樂園一樣。他也許不知道，他的一生從此與電影分不開。有多少影迷與多多一樣，不知不覺間深陷於對電影的熱愛，人生的不同階段都在戲院找到慰藉？
A Dog's Will,2000,2000/09/15 (BR),"喜剧,剧情,奇幻,爱情",104m,84,葡萄牙語,蓋爾·阿賴斯,Ariano Suassuna,Lying with faith is not always a sin.,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise."
妙不可言,2021,2021/06/17 (MX),"家庭,剧情",88m,84,西班牙語,Ernesto Contreras,Estéfani Enríquez Soto,There are encounters that change your life,生活是如此奇妙且難以預測，有時會在最不經意的地方發現幸福：一位七旬老嫗和她的少年鄰居之間產生了深厚的友誼。
觸目驚心,1960,1961/01/12 (HK),"恐怖,惊悚,悬疑",109m,84,英語,亞弗列·希治閣,羅伯特·布洛克,A new and altogether different screen excitement!,該片講述了瑪莉蓮在浴室中被精神分裂的狂人殺死，之後瑪莉蓮的姐姐和男友加入警方的調查，在逐步偵查下終於揭露狂人殺人真相的故事。
魔戒二部曲：雙城奇謀,2002,2003/01/09 (HK),"冒险,奇幻,动作",223m,84,英語,彼得積遜,J·R·R·託爾金,The journey continues.,黑暗魔王索倫鑄造了一隻至尊魔戒，神奇力量足以令他征服眾生靈，輾轉被哈比族人佛羅多巴金斯所承繼。佛羅多必須把魔戒丟進它的鑄造地末日山脈的火焰之中，才能徹底摧毀這股黑暗力量。他在一班正義忠心伴侶幫助下組成遠征隊，其中包括哈比族人、人類戰士、巫師、矮人及精靈，途中他們要跟索倫集結的半獸人集團決戰，並要抵擋來自這隻魔戒的邪惡力量所引發的誘惑。一段漫長的正邪之戰，從此展開. . . . . .
飛越瘋人院,1975,1975/11/19 (US),剧情,133m,84,英語,米路士·科曼,肯·克西,"In this clean, orderly, disciplined world, who needs guys like McMurphy? Everybody.",劇本改編自一部同名小説，曾獲 1975 年第 48 屆奧斯卡最佳影片，最佳男、女主角，最佳導演和最佳改編劇本五項至尊大獎。據導演所講，這部電影其實是從他由布拉格之春之後鐵幕捷克逃到美國的個人經歷而改編的。這次經歷，使他明白到任何的夢想的實現機會可能不高，但若連這個機會都拋棄的話，這個夢想可實現的機會就只有零。而這種精神，也非常切合美國人一向提倡的美國精神。
魷魚遊戲：第 2 季：製作特輯,2025,2025/01/03 (HK),纪录,28m,84,韓語,,,概覽,從場景設計到角色發展，透過演員群與導演的獨家訪談，一窺這部全球收視冠軍影集的第 2 季如何製作。
希望：為愛重生,2013,2013/10/02 (KR),剧情,122m,84,韓語,李濬益,金智慧,We won't let her shed tears again.,8 歲的素媛慘遭殘忍性侵，險些喪命之後，全家人努力扶持她療傷，同時也得應對自己的憤怒與悲痛。
Gabriel's Inferno,2020,,,,84,-,Tosca Musk,Sylvain Reynard,概覽,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love."
蜘蛛俠：跳入蜘蛛宇宙,2018,2018/12/13 (HK),"动画,动作,冒险,科幻",117m,84,英語,洛迪文尼·羅斯曼,菲力洛迪文,More than one wears the mask.,一個生活在布魯克林的平凡青年麥爾斯 (Miles) 發現自己擁有不尋常力量，徬徨之際，蜘蛛俠彼得柏加 (Peter Parker) 突然現身話要教他做守護城市的蜘蛛俠，麥爾斯先知道原來這個宇宙並不只有一個蜘蛛俠? !
星球大戰：帝國反擊戰,1980,1980/08/08 (HK),"冒险,动作,科幻",124m,84,英語,爾文·克許納,利·布拉克特,The Star Wars saga continues.,帝國軍被擊敗後勃然大怒，派出精鋭部隊追擊盟軍，Han Solo 和公主 Leia 在逃亡到雲城時被黑武士擄去。Luke Skywalker 長途拔涉到一神秘星體，尋訪智慧尊者 Yoda，並學曉運用宇宙大能，用以對付黑武士，一場激烈的生死決戰迅速展開。
哈爾移動城堡,2004,2005/03/24 (HK),"奇幻,动画,冒险",119m,84,日語,宮崎駿,戴安娜·韋恩·瓊斯,被魔咒變成九十歲的少女，遇上移動城堡的魔法師,18 歲少女蘇菲被荒野女巫的魔咒變成了 90 歲老婆婆，為找尋解除咒語的方法，偶然闖入了四處遊走、充滿機關和魔法的移動城堡，裏面一道魔法門，更可通往四個神奇世界。
電影版 聲之形,2016,2017/04/06 (HK),"动画,剧情,爱情",130m,84,日語,山田尚子,吉田玲子,Sometimes the answer is as simple as learning to listen.,最討厭無聊的少年，主角石田將也。小學時曾經是孩子王的他，對弱聽的轉校生．西宮硝子抱有單純的好奇心。她的出現令將也以為無聊的日子終於得到解放，但跟硝子之間發生了某事件之後，將也被同學們孤立排擠。
義薄雲天,1984,1984/08/11 (HK),"剧情,犯罪",229m,84,英語,賽爾喬·萊昂內,Harry Grey,"Crime, passion and lust for power.",里昂尼將舞台由西部搬至紐約地下黑幫世界，以幾個猶太裔流氓的一生折射美國夢的陰暗。悠長肅殺的排笛聲迴盪風中，往事如煙飄到布魯克林大橋下，純真歲月恍如隔世。伴隨夢中人的優美旋律總是隔著停頓，像欲言又止、無處傾訴的情話。摩利哥尼重新改編《天佑美國》、爵士曲、披頭四等名曲，符合時空背景之餘，亦是對美國文化的致敬。原創和改編曲調不時無縫交融，猶如錯綜重疊的回憶與思緖，娓娓道來橫跨半世紀的史詩。
七宗罪,1995,1995/11/30 (HK),"犯罪,悬疑,惊悚",127m,84,英語,大衞·芬查,安德魯·凱文·沃克,Gluttony. Greed. Sloth. Envy. Wrath. Pride. Lust.,故事從天主教中有7種死罪說起，一場離奇的連環殺人案，受害者都是死於這7宗罪其中一種。經驗十足的警探Somerset努力不懈，终於將這些看似沒有聯繫的命案屢出頭緒。5宗命案過後，兇手下一個目標是誰？警方不知所措，兇手卻奇跡般自首，此時他的「七宗罪」還差兩宗⋯⋯
鋼琴戰曲,2002,2003/01/24 (GB),"剧情,战争",150m,84,英語,羅曼·波蘭斯基,羅納德·哈伍德,戰火無情 琴鍵無聲 心靈與天地奏鳴 為時代傷痕作證,1939 年，二戰爆發，當時只得 27 歲的華迪拉史標曼 Wladyslaw Szpilman (艾哲倫保迪飾演) 被譽為是波蘭最頂尖的鋼琴家，當德國空軍的飛彈擊落波蘭國營電台那一刻，收音機在播放的正是史標曼彈奏的「蕭邦夜曲升 C 小調篇」。身為猶太人的史標曼，與家人隨即被押解到華沙的強制性猶太人區。在納粹德軍控制下的華沙街道上，史標曼苟延偷生，以在夜店演奏維生， 可是，最恐怖的時候終於來臨，史標曼跟成千上萬的同胞被勒令登上前往集中營火車……就在此時，他得到一名德國軍官荷西夫 Hosenfeld (湯馬士祈舒曼飾演) 的幫助，成功避過集中營一役，還在六年的戰火中熬過來。
鼓動真我,2014,2014/10/15 (HK),"剧情,音乐,惊悚",107m,84,英語,戴米恩·查素,,是誰教我完美鼓音 是誰逼我挑戰鼓神 不瘋魔 活不成真我!,受寫作事業失敗的父親影響，19 歲 Andrew（米爾斯泰勒
Lucy Shimmers and the Prince of Peace,2020,2020/10/19 (US),"剧情,家庭",87m,84,-,Rob Diamond,,概覽,Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.
潛行兇間,2010,2010/07/29 (HK),"动作,科幻,冒险",148m,84,英語,基斯杜化·路蘭,,進入 最危險思維空間 掀動 最奇幻驚世罪幕,Dom Cobb 是一名精於潛盜的神偷，專門趁目標人物於睡夢狀態中思維最軟弱的時候，潛入他們的意識中盜取機密資料。Dom 的天賦技能使他成為商界間諜活動夢寐以求的的合作夥伴，但同時亦令他變成失去所愛的國際逃犯。此時，Dom 接受了一項新任務，只要事成便能得到一個重生的機會，但是，他卻要做到潛意識犯罪中最不可能的境界：潛植意念。Dom 與他的夥伴並不是如以往般策劃完美的盜竊行動，相反是要潛入目標人物最深層次的潛意識中，植入一項意念。如果他們能夠成功，這將會是開天闢地，史無前例的完美罪行。
Gabriel's Inferno: Part II,2020,2020/07/31 (US),"爱情,剧情",106m,84,-,Tosca Musk,Sylvain Reynard,概覽,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?"
防彈少年團：燃燒舞台電影版,2018,2018/11/15 (KR),"音乐,纪录",85m,84,韓語,Park Jun-soo,,"From the deserts to the seas, we were always together.","防彈少年團的故事將被拍成電影, 11 月 CGV 上映! 據體育東亞獨家報道, 講述防彈少年團成長故事的紀錄片形式電影"
Gabriel's Inferno: Part III,2020,,,,84,-,Tosca Musk,Sylvain Reynard,概覽,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.
天國與地獄,1963,1963/03/01 (JP),"剧情,犯罪,惊悚",142m,84,日語,黑澤明,埃文·亨特,"Stark, intense drama almost beyond belief!","靠自己努力當上鞋業公司高層的權藤，正為公司的事務發愁，不料他司機的兒子進一卻被綁匪誤當成他的兒子綁走，要他交納 3, 000 萬日圓贖金。一開始權藤並不願意交錢給匪徒，因為他為解決公司上的事務急需用錢。後來因救人心切他通過交付贖金救回進一，自己卻被公司內的人排擠出了公司，並落到被債權人追債的地步。後來負責調查此案的警察們不但查出匪徒的身份——竹內，還設計證明瞭竹內用毒品殺死同謀者的犯罪事實，最終竹內被判死刑。臨死前竹內要求見權藤一面，説出了他憎恨有錢人的內心想法。"
沉默的羔羊,1991,1991/05/10 (HK),"犯罪,惊悚,剧情",119m,83,英語,喬納森·戴米,湯瑪斯·哈里斯,To enter the mind of a killer she must challenge the mind of a madman.,正在 FBI 受訓的實習探員克麗絲·史達琳，奉局長傑克·克勞福之命，前去探訪醫生漢尼拔·萊克特以換得追尋聯續殺人狂魔「野牛比爾」的線索。「野牛比爾」（一譯「水牛比爾」）是一個變態心理罪犯，犯下一聯串殺人案件，並且剝下死者的皮，犯罪手法令人髮指。
後窗,1954,1955/06/30 (HK),"惊悚,悬疑",112m,83,英語,亞弗列·希治閣,John Michael Hayes,It only takes one witness to spoil the perfect crime.,此片被視為驚悚大師希區考克 (Alfred Hitchcock) 的經典代表作，以黑色幽默的手法，描寫情色偷窺的題材。此片曾獲奧斯卡最佳導演、攝影與劇本等多項提名。傑夫 (James Stewart 飾) 是一名攝影師，因為腿斷而被迫在家休養，為了打發時間，他開始透過自家的後窗，用望遠鏡偷窺這棟紐約小公寓中的其他鄰居。除了護士與女友莉莎 (Grace Kelly 飾) 的造訪外，傑夫幾乎花所有的時間來觀察鄰居，甚至還為他們幻想了不同的故事，他的鄰居包括了一個鬱鬱不得志的作曲家、一個倒楣的老處女、一個愛日光浴的女雕刻家、一個曲線玲瓏的舞者、還有一對害羞的新婚夫婦，最讓他好奇的，則是一個神秘的業務員拉斯 (Raymond Burr 飾)，他的妻子整天嘮叨不停。一日，傑夫又在偷窺鄰居時，發現拉斯故意拉下了窗簾，他太太的嘮叨聲突然就停止，從此便失去了蹤影。
帶來靈魂：防彈少年團演唱會電影,2019,2019/08/07 (KR),"音乐,纪录",105m,83,韓語,Park Jun-soo,,"Forever, we are young.",據媒體報道防彈少年團 第三部演唱會電影《Bring the Soul：The Movie》確定將於 8 月 7 日全球同步上映並公開了海報。據悉，該電影記錄了防彈少年團從首爾開始經過眾多的城市，結束漫長的歐洲巡演後在圍坐在巴黎一個小小的屋頂舉行屬於他們自己的慶祝宴的模樣。另外，《Bring the Soul：The Movie》將展現防彈少年團 7 名成員各樣的魅力，他們率真坦誠的面貌將帶給觀眾心動和感動，該片將於 8 月 7 日上映。
蜘蛛俠：飛躍蜘蛛宇宙,2023,2023/06/01 (HK),"动画,动作,冒险,科幻",140m,83,英語,喬伊姆·多斯·桑托斯,肯普·鮑爾斯,It's how you wear the mask that matters.,Sony Pictures榮譽發行、奧斯卡最佳動畫電影《蜘蛛俠：跳入蜘蛛宇宙》最新一章《蜘蛛俠：飛躍蜘蛛宇宙》即將登場！穿梭於紐約布魯克林大街小巷守護居民的「蜘蛛仔」麥爾斯，跟桂恩史德西重逢後，被神秘力量帶領進入一個充滿各式各樣「蜘蛛俠」的多元宇宙。當「蜘蛛俠」們遇到危險打算聯手抗敵時，麥爾斯卻發現自己與他們產生矛盾，更被迫要與其他「蜘蛛俠」對抗，他必需重新審視成為英雄的意義，才能守護他所愛的人！…
鏈鋸人 - 劇場版：蕾潔篇,2025,2025/09/25 (HK),"动画,动作,爱情,奇幻",100m,83,日語,吉原達矢,瀨古浩司,Live your life human… and live it well.,主角澱治曾是黑幫的惡魔獵人，試圖償還父母留下的債務。後來，他被黑幫背叛、殺害，就在瀕死之際，他與電鋸惡魔波奇塔締結了契約，從此化身為無敵的電鋸人！擁有「鏈鋸惡魔」力量的澱治，在與夢中情人真紀真約會後，遇見了在咖啡廳工作的神秘少女蕾潔。兩人展開了一段充滿愛情卻又危機四伏的故事。在惡魔、獵人與隱藏敵人交織的殘酷戰場上，澱治迎來了他迄今為止最致命的挑戰⋯⋯
野獸良民,1998,1998/10/30 (US),剧情,119m,83,英語,托尼·凱耶,大衞·麥肯納,Some legacies must end.,Derek (Edward Norton) 是一個加州年輕人，他在父親被謀殺後成為一個新納粹幫派的領導人。他的弟弟 Danny，敬佩他，並跟隨他的仇恨和暴力的步伐。當 Derek 殺死兩個黑人竊賊時，他被判入獄三年，在那裡他改變了他的思想，因為他認識了其他囚犯。出獄後，他試圖讓 Danny 遠離種族主義和犯罪，但他遇到了他以前的同伴的抵抗和他過去的後果。
回到未來,1985,1985/12/14 (HK),"冒险,喜剧,科幻",116m,83,英語,羅伯特·澤米吉斯,Bob Gale,He was never in time for his classes... He wasn't in time for his dinner... Then one day... he wasn't in his time at all.,"故事發生在 1985 年的美國。主角馬蒂·麥佛萊（Marty McFly）是一個居住在加州山谷市保守家庭裏的 17 歲高中生，立志成為搖滾樂巨星。但馬帝的家境並不那麼好：馬帝的父親喬治（George McFly）是個懦弱的小上班族，常受上司畢夫·譚能（Biff Tannen）的刁難；母親羅蘭性格迂腐保守，看不慣任何新生事物。此時，馬帝正計劃著與女友珍妮佛（Jennifer）於週末時開家裏唯一的破車到湖邊露營；某天深夜，陪同與他交好的鎮上怪人布朗博士（Emmett ""Doc"" Brown）及博士的愛狗愛因斯坦，一起進行由德羅寧跑車 DMC-12 改裝而成的時光機測試，並負責攝影紀錄的工作，但不巧遇上利比亞恐怖分子向布朗博士追討用於驅動時光機的鈽、甚至槍殺了布朗博士。馬蒂為了躲避恐怖份子追殺，跳入時光車企圖逃離，但意外間開啟了時光機穿梭功能，回到了 30 年前。"
幽靈公主,1997,1997/08/14 (HK),"冒险,奇幻,动画",134m,83,日語,宮崎駿,,The fate of the world rests on the courage of one warrior.,日本室町幕府時代，群雄割據，戰事連年。人民為逃避戰火，被迫棲身森林。世局動盪，令森林之神大為震怒！東方地域的男孩「飛鳥」為保護家園，殺死了發狂的野豬王，自己亦因而受傷。求醫途中，他遇上由森林守護神白狼撫養成人的幽靈公主；亦目睹了武士屠城的慘況。另一方面，城主幻姬為了讓難民有安居之所，不惜砍伐林木加固城堡，並在城內鑄造武器對抗神獸及入侵的武士。三方爭戰不休、生死待決，令局勢更為混亂...男孩「飛鳥」周旋其中，竭力為人與大自然兩股敵對力量尋求和解…
癲狂世代,2023,2023/10/19 (MX),剧情,125m,83,西班牙語,Christopher Zalla,,Think for yourself.,在一個飽受忽視、腐敗和暴力困擾的墨西哥邊境小鎮，一位沮喪的老師嘗試一種非正統的新方法來打破學生的冷漠態度，釋放他們的好奇心、潛力……甚至可能是他們的天才。
劇場版 五等分的新娘,2022,2022/10/06 (HK),"动画,喜剧,爱情",136m,83,日語,神保昌登,大知慶一郎,概覽,講述為了讓「瀕臨留級」又「討厭學習」的美少女五姊妹通過學校考試畢業，主角風太郎以兼職家庭教師的身分來到中野家指導她們的課業，也因此漸漸與五胞胎們培養出感情。 懷抱著各種想法的各人也迎來高中生活最後的活動「學園祭」 「學園祭第一天15時請到教室來。」 聚集在教室裡的五胞胎們，風太郎想告訴她們的是──
造反有理,1984,1984/10/19 (US),"纪录,音乐",88m,83,英語,喬納森·戴米,,Why stop making sense? Why a movie? Why a big suit? Where do the odd movements come from? What will the band do next?,紀錄 Talking Heads 1983 年 12 月宣傳專輯 Speaking in Tongues 的演唱會表演
